date,district,cases
2014-06-11,W/Rural,0.0
2014-06-12,Kailahun,0.0
2014-06-12,Bombali,0.0
2014-06-12,Mayamba,0.0
2014-06-12,W/Rural,0.0
2014-06-12,Tonkolili,0.0
2014-06-12,W/Urban,0.0
2014-06-12,Bonthe,0.0
2014-06-12,Bo,0.0
2014-06-12,Kono,0.0
2014-06-12,Kambia,0.0
2014-06-12,Kenema,0.0
2014-06-12,Koinadugu,0.0
2014-06-12,Pujehun,0.0
2014-06-12,Port Loko,0.0
2014-06-13,W/Urban,0.0
2014-06-13,Mayamba,0.0
2014-06-13,Kono,0.0
2014-06-13,Bonthe,0.0
2014-06-13,W/Rural,0.0
2014-06-13,Bombali,0.0
2014-06-13,Kailahun,1.0
2014-06-13,Pujehun,0.0
2014-06-13,Koinadugu,0.0
2014-06-13,Bo,0.0
2014-06-13,Kambia,0.0
2014-06-13,Port Loko,0.0
2014-06-13,Kenema,0.0
2014-06-13,Tonkolili,0.0
2014-06-14,Mayamba,0.0
2014-06-14,Tonkolili,0.0
2014-06-14,Kailahun,5.0
2014-06-14,Kambia,0.0
2014-06-14,Bombali,0.0
2014-06-14,Kenema,0.0
2014-06-14,Bonthe,0.0
2014-06-14,Pujehun,0.0
2014-06-14,W/Urban,0.0
2014-06-14,Koinadugu,0.0
2014-06-14,Bo,0.0
2014-06-14,Port Loko,0.0
2014-06-14,Kono,0.0
2014-06-14,W/Rural,0.0
2014-06-15,Tonkolili,0.0
2014-06-15,Koinadugu,0.0
2014-06-15,Kailahun,21.0
2014-06-15,Mayamba,0.0
2014-06-15,Bombali,0.0
2014-06-15,Bo,0.0
2014-06-15,W/Urban,0.0
2014-06-15,Kambia,0.0
2014-06-15,W/Rural,0.0
2014-06-15,Port Loko,0.0
2014-06-15,Bonthe,0.0
2014-06-15,Kono,0.0
2014-06-15,Kenema,0.0
2014-06-15,Pujehun,0.0
2014-06-16,Port Loko,0.0
2014-06-16,Pujehun,0.0
2014-06-16,Kailahun,1.0
2014-06-16,Bonthe,0.0
2014-06-16,W/Rural,0.0
2014-06-16,Bo,0.0
2014-06-16,W/Urban,0.0
2014-06-16,Bombali,0.0
2014-06-16,Tonkolili,0.0
2014-06-16,Mayamba,0.0
2014-06-16,Kenema,0.0
2014-06-16,Kono,0.0
2014-06-16,Kambia,0.0
2014-06-16,Koinadugu,0.0
2014-06-17,Mayamba,0.0
2014-06-17,Bo,0.0
2014-06-17,Bonthe,0.0
2014-06-17,Kambia,0.0
2014-06-17,Tonkolili,0.0
2014-06-17,Kailahun,4.0
