Location,SurveyYear,Indicator,Value
Pujehun,2019,Assistance during delivery from a skilled provider,98.3
Southern,2008,Assistance during delivery from a skilled provider,53.5
Southern,2013,Assistance during delivery from a skilled provider,74.9
Southern,2019,Assistance during delivery from a skilled provider,89.5
Tonkolili,2013,Assistance during delivery from a skilled provider,46.6
Tonkolili,2019,Assistance during delivery from a skilled provider,93.7
Western,2008,Assistance during delivery from a skilled provider,61.8
Western,2019,Assistance during delivery from a skilled provider,96.6
Western Rural,2019,Assistance during delivery from a skilled provider,95.5
Western Urban,2019,Assistance during delivery from a skilled provider,97.6
..Falaba,2013,Children with fever for whom advice or treatment was sought,72.0
..Falaba,2019,Children with fever for whom advice or treatment was sought,75.9
..Koinadugu,2013,Children with fever for whom advice or treatment was sought,58.9
..Koinadugu,2019,Children with fever for whom advice or treatment was sought,77.5
Bo,2013,Children with fever for whom advice or treatment was sought,80.8
Bo,2016,Children with fever for whom advice or treatment was sought,67.6
Bo,2019,Children with fever for whom advice or treatment was sought,72.8
Bombali,2013,Children with fever for whom advice or treatment was sought,89.4
Bombali,2019,Children with fever for whom advice or treatment was sought,69.2
Bombali (before 2017),2016,Children with fever for whom advice or treatment was sought,81.4
Bonthe,2013,Children with fever for whom advice or treatment was sought,63.9
Bonthe,2016,Children with fever for whom advice or treatment was sought,80.8
Bonthe,2019,Children with fever for whom advice or treatment was sought,92.4
Eastern,2008,Children with fever for whom advice or treatment was sought,35.5
Eastern,2013,Children with fever for whom advice or treatment was sought,86.1
Eastern,2016,Children with fever for whom advice or treatment was sought,74.8
Eastern,2019,Children with fever for whom advice or treatment was sought,75.5
Kailahun,2013,Children with fever for whom advice or treatment was sought,83.9
Kailahun,2016,Children with fever for whom advice or treatment was sought,69.8
Kailahun,2019,Children with fever for whom advice or treatment was sought,76.7
Kambia,2013,Children with fever for whom advice or treatment was sought,73.5
Kambia,2016,Children with fever for whom advice or treatment was sought,82.0
Kambia,2019,Children with fever for whom advice or treatment was sought,84.1
Karene,2013,Children with fever for whom advice or treatment was sought,82.6
Karene,2019,Children with fever for whom advice or treatment was sought,70.0
Kenema,2013,Children with fever for whom advice or treatment was sought,87.1
Kenema,2016,Children with fever for whom advice or treatment was sought,71.7
Kenema,2019,Children with fever for whom advice or treatment was sought,72.8
Koinadugu (before 2017),2013,Children with fever for whom advice or treatment was sought,63.7
Koinadugu (before 2017),2016,Children with fever for whom advice or treatment was sought,53.6
Koinadugu (before 2017),2019,Children with fever for whom advice or treatment was sought,76.9
Kono,2013,Children with fever for whom advice or treatment was sought,87.2
Kono,2016,Children with fever for whom advice or treatment was sought,81.6
Kono,2019,Children with fever for whom advice or treatment was sought,81.4
Moyamba,2016,Children with fever for whom advice or treatment was sought,81.0
Moyamba,2019,Children with fever for whom advice or treatment was sought,76.9
North Western,2013,Children with fever for whom advice or treatment was sought,72.7
North Western,2019,Children with fever for whom advice or treatment was sought,77.0
Northern,2013,Children with fever for whom advice or treatment was sought,69.5
Northern,2019,Children with fever for whom advice or treatment was sought,73.1
Northern (before 2017),2008,Children with fever for whom advice or treatment was sought,49.8
Northern (before 2017),2013,Children with fever for whom advice or treatment was sought,70.4
Northern (before 2017),2016,Children with fever for whom advice or treatment was sought,70.9
Northern (before 2017),2019,Children with fever for whom advice or treatment was sought,75.4
Port Loko,2013,Children with fever for whom advice or treatment was sought,68.3
Port Loko,2019,Children with fever for whom advice or treatment was sought,74.7
Port Loko (before 2017),2016,Children with fever for whom advice or treatment was sought,55.7
Pujehun,2013,Children with fever for whom advice or treatment was sought,68.5
Pujehun,2016,Children with fever for whom advice or treatment was sought,87.1
Pujehun,2019,Children with fever for whom advice or treatment was sought,79.0
Southern,2008,Children with fever for whom advice or treatment was sought,64.4
Southern,2013,Children with fever for whom advice or treatment was sought,67.0
Southern,2016,Children with fever for whom advice or treatment was sought,77.0
Southern,2019,Children with fever for whom advice or treatment was sought,79.6
Tonkolili,2013,Children with fever for whom advice or treatment was sought,68.3
Tonkolili,2016,Children with fever for whom advice or treatment was sought,75.6
Tonkolili,2019,Children with fever for whom advice or treatment was sought,69.9
Western,2008,Children with fever for whom advice or treatment was sought,73.6
Western,2016,Children with fever for whom advice or treatment was sought,57.7
Western,2019,Children with fever for whom advice or treatment was sought,69.5
Western Rural,2016,Children with fever for whom advice or treatment was sought,50.1
Western Rural,2019,Children with fever for whom advice or treatment was sought,59.2
Western Urban,2016,Children with fever for whom advice or treatment was sought,69.9
Western Urban,2019,Children with fever for whom advice or treatment was sought,81.0
..Falaba,2013,Place of delivery: Health facility,38.3
..Falaba,2019,Place of delivery: Health facility,84.0
..Koinadugu,2013,Place of delivery: Health facility,33.9
..Koinadugu,2019,Place of delivery: Health facility,73.1
Bo,2013,Place of delivery: Health facility,62.9
Bo,2019,Place of delivery: Health facility,93.0
Bombali,2013,Place of delivery: Health facility,49.1
Bombali,2019,Place of delivery: Health facility,87.9
Bonthe,2013,Place of delivery: Health facility,66.6
Bonthe,2019,Place of delivery: Health facility,97.3
Eastern,2008,Place of delivery: Health facility,29.2
Eastern,2013,Place of delivery: Health facility,75.0
Eastern,2019,Place of delivery: Health facility,91.8
Kailahun,2013,Place of delivery: Health facility,86.7
Kailahun,2019,Place of delivery: Health facility,97.1
Kambia,2013,Place of delivery: Health facility,82.7
Kambia,2019,Place of delivery: Health facility,76.8
Karene,2013,Place of delivery: Health facility,78.3
Karene,2019,Place of delivery: Health facility,78.5
Kenema,2013,Place of delivery: Health facility,78.3
Kenema,2019,Place of delivery: Health facility,96.1
Koinadugu (before 2017),2013,Place of delivery: Health facility,36.0
Koinadugu (before 2017),2019,Place of delivery: Health facility,77.5
Kono,2013,Place of delivery: Health facility,56.2
Kono,2019,Place of delivery: Health facility,80.8
Moyamba,2019,Place of delivery: Health facility,69.1
North Western,2013,Place of delivery: Health facility,65.2
North Western,2019,Place of delivery: Health facility,70.1
Northern,2013,Place of delivery: Health facility,42.3
Northern,2019,Place of delivery: Health facility,85.0
Northern (before 2017),2008,Place of delivery: Health facility,14.6
Northern (before 2017),2013,Place of delivery: Health facility,49.1
Northern (before 2017),2019,Place of delivery: Health facility,77.6
Port Loko,2013,Place of delivery: Health facility,35.3
Port Loko,2019,Place of delivery: Health facility,62.2
Pujehun,2013,Place of delivery: Health facility,65.5
Pujehun,2019,Place of delivery: Health facility,97.9
Southern,2008,Place of delivery: Health facility,36.0
Southern,2013,Place of delivery: Health facility,65.8
Southern,2019,Place of delivery: Health facility,88.4
Tonkolili,2013,Place of delivery: Health facility,43.2
Tonkolili,2019,Place of delivery: Health facility,87.3
Western,2008,Place of delivery: Health facility,35.7
Western,2019,Place of delivery: Health facility,90.6
Western Rural,2019,Place of delivery: Health facility,85.4
Western Urban,2019,Place of delivery: Health facility,94.6
