date,ISO_3,PAYS,ID_PAYS,region,ID_REGION,cases,deaths,recovered,cases_female,cases_male,cases_unspecified,SOURCE,LIEN SOURCE
2020-04-07,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-07,SLE,Sierra Leone,9.0,Western,94.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-08,SLE,Sierra Leone,9.0,Northern,91.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-08,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-08,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-08,SLE,Sierra Leone,9.0,Western,94.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-09,SLE,Sierra Leone,9.0,Northern,91.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-09,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-09,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-09,SLE,Sierra Leone,9.0,Western,94.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-10,SLE,Sierra Leone,9.0,Northern,91.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-10,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-10,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-10,SLE,Sierra Leone,9.0,Western,94.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-11,SLE,Sierra Leone,9.0,Northern,91.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-11,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-11,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-11,SLE,Sierra Leone,9.0,Western,94.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-12,SLE,Sierra Leone,9.0,Northern,91.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-12,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-12,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-12,SLE,Sierra Leone,9.0,Western,94.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-13,SLE,Sierra Leone,9.0,Northern,91.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-13,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-13,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-13,SLE,Sierra Leone,9.0,Western,94.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-14,SLE,Sierra Leone,9.0,Northern,91.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-14,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-14,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-14,SLE,Sierra Leone,9.0,Western,94.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-15,SLE,Sierra Leone,9.0,Northern,91.0,4.0,0.0,0.0,,,4.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-15,SLE,Sierra Leone,9.0,Eastern,92.0,1.0,0.0,0.0,,,1.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-15,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-15,SLE,Sierra Leone,9.0,Western,94.0,8.0,0.0,0.0,,,8.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-16,SLE,Sierra Leone,9.0,Northern,91.0,0.0,0.0,0.0,,,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-16,SLE,Sierra Leone,9.0,Eastern,92.0,1.0,0.0,0.0,,,1.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-16,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-16,SLE,Sierra Leone,9.0,Western,94.0,10.0,0.0,0.0,,,10.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-17,SLE,Sierra Leone,9.0,Northern,91.0,1.0,0.0,0.0,0.0,1.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-17,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-17,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-17,SLE,Sierra Leone,9.0,Western,94.0,3.0,0.0,0.0,0.0,3.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-18,SLE,Sierra Leone,9.0,Northern,91.0,1.0,0.0,0.0,1.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-18,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-18,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-18,SLE,Sierra Leone,9.0,Western,94.0,4.0,0.0,0.0,4.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-19,SLE,Sierra Leone,9.0,Northern,91.0,1.0,0.0,,,,1.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-19,SLE,Sierra Leone,9.0,Eastern,92.0,1.0,0.0,,,,1.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-19,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-19,SLE,Sierra Leone,9.0,Western,94.0,6.0,0.0,,,,6.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-20,SLE,Sierra Leone,9.0,Northern,91.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-20,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-20,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-20,SLE,Sierra Leone,9.0,Western,94.0,7.0,0.0,0.0,5.0,2.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-21,SLE,Sierra Leone,9.0,Northern,91.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-21,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-21,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-21,SLE,Sierra Leone,9.0,Western,94.0,11.0,0.0,0.0,4.0,7.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-22,SLE,Sierra Leone,9.0,Northern,91.0,0.0,0.0,,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-22,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-22,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-22,SLE,Sierra Leone,9.0,Western,94.0,3.0,1.0,,2.0,1.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-23,SLE,Sierra Leone,9.0,Northern,91.0,1.0,0.0,0.0,,,1.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-23,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-23,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-23,SLE,Sierra Leone,9.0,Western,94.0,17.0,1.0,0.0,,,17.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-24,SLE,Sierra Leone,9.0,Northern,91.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-24,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-24,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-24,SLE,Sierra Leone,9.0,Western,94.0,0.0,1.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-25,SLE,Sierra Leone,9.0,Northern,91.0,1.0,0.0,0.0,,,1.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-25,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-25,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-25,SLE,Sierra Leone,9.0,Western,94.0,10.0,0.0,0.0,,,10.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-26,SLE,Sierra Leone,9.0,Northern,91.0,0.0,,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-26,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-26,SLE,Sierra Leone,9.0,Southern,93.0,0.0,,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-26,SLE,Sierra Leone,9.0,Western,94.0,6.0,,0.0,4.0,2.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-27,SLE,Sierra Leone,9.0,Northern,91.0,0.0,0.0,,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-27,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-27,SLE,Sierra Leone,9.0,Southern,93.0,0.0,0.0,,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-27,SLE,Sierra Leone,9.0,Western,94.0,5.0,0.0,,4.0,1.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-28,SLE,Sierra Leone,9.0,Northern,91.0,4.0,0.0,,,,4.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-28,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,0.0,,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-28,SLE,Sierra Leone,9.0,Southern,93.0,4.0,0.0,,,,4.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-28,SLE,Sierra Leone,9.0,Western,94.0,4.0,0.0,,,,4.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-29,SLE,Sierra Leone,9.0,Northern,91.0,1.0,0.0,,,,1.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-29,SLE,Sierra Leone,9.0,Eastern,92.0,1.0,0.0,,,,1.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-29,SLE,Sierra Leone,9.0,Southern,93.0,6.0,0.0,,0.0,0.0,6.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-29,SLE,Sierra Leone,9.0,Western,94.0,0.0,0.0,,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-30,SLE,Sierra Leone,9.0,Northern,91.0,2.0,,0.0,,,2.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-30,SLE,Sierra Leone,9.0,Eastern,92.0,0.0,,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-30,SLE,Sierra Leone,9.0,Southern,93.0,0.0,,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-04-30,SLE,Sierra Leone,9.0,Western,94.0,10.0,,0.0,,,10.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-05-01,SLE,Sierra Leone,9.0,Northern,91.0,0.0,,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-05-01,SLE,Sierra Leone,9.0,Eastern,92.0,1.0,,0.0,,,1.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-05-01,SLE,Sierra Leone,9.0,Southern,93.0,0.0,,0.0,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-05-01,SLE,Sierra Leone,9.0,Western,94.0,18.0,,0.0,,,18.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-05-02,SLE,Sierra Leone,9.0,Northern,91.0,0.0,0.0,,0.0,0.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-05-02,SLE,Sierra Leone,9.0,Eastern,92.0,1.0,0.0,,0.0,1.0,0.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
2020-05-02,SLE,Sierra Leone,9.0,Southern,93.0,1.0,0.0,,,,1.0,Ministry of Health and sanitation,https://twitter.com/mohs_sl?lang=fr
